RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
STAR-3935,,6.383742,-3.276976,Star,Mon,6.56,,,,,,,B5V,191.24936418442084,-0.148,,1,30278,30278,,,,,,,,,,,,,
STAR-3936,,6.383741,-63.683136,Star,Pic,6.3,,,,,,,M1III,300.33088786765575,1.612,,1,30279,30279,,,,,,,,,,,,,
STAR-3937,,6.385103,56.976349,Star,Lyn,6.47,,,,,,,K1III,52.43243172456372,1.075,,1,30284,30284,,,,,,,,,,,,,
STAR-3938,,6.386956,-34.996841,Star,Col,6.53,,,,,,,Ap...,45.62469770768503,-0.073,,1,30299,30299,,,,,,,,,,,,,
STAR-3939,,6.387355,-31.790312,Star,CMa,6.31,,,,,,,G8III,28.946762641760294,0.893,,1,30303,30303,,,,,,,,,,,,,
STAR-3940,,6.388441,-14.835353,Star,CMa,6.96,,,,,,,A8IV,11.251229929657663,0.225,,1,30307,30307,,,,,,,,,,,,,
STAR-3941,,6.38847,3.764489,Star,Mon,6.41,,,,,,,B3V,252.1157630807412,-0.149,,1,30309,30309,,,,,,,,,,,,,
STAR-3942,,6.389665,-4.687507,Star,Mon,6.66,,,,,,,A2V,22.55277566745248,0.063,,1,30314,30314,,,,,,,,,,,,,
STAR-3943,,6.391541,-29.860761,Star,CMa,6.99,,,,,,,K1/K2III,44.25883723626264,1.068,,1,30322,30322,,,,,,,,,,,,,
STAR-3944,,6.393311,-9.874727,Star,Mon,6.11,,,,,,,K5,624.5971525332759,1.841,,1,30334,30334,,,,,,,,,,,,,
STAR-3945,,6.394119,40.521371,Star,Aur,6.81,,,,,,,G5,28.235793691102995,1.058,,1,30335,30335,,,,,,,,,,,,,
STAR-3946,,6.395212,-16.467189,Star,CMa,6.57,,,,,,,A9/F0IV,78.84969177453775,0.307,,1,30341,30341,,,,,,,,,,,,,
STAR-3947,,6.395903,-37.01459,Star,Col,6.89,,,,,,,B5V,487.5284901033865,-0.096,,1,30345,30345,,,,,,,,,,,,,
STAR-3948,,6.396135,4.592865,Star,Mon,4.39,,,,8Eps Mon,Eps,8.0,A5IV,21.47830474130533,0.215,,1,30346,30346,,,,,,,,,,,,,
STAR-3949,,6.396151,-15.071257,Star,CMa,6.27,,,,,,,K2/K3III,543.5005651294466,1.534,,1,30347,30347,,,,,,,,,,,,,
STAR-3950,,6.39625,4.595812,Star,Mon,6.72,,,,,,,F5V,2.4592348238462303,0.45,,1,30349,30349,,,,,,,,,,,,,
STAR-3951,,6.396367,-58.543871,Star,Pic,6.47,,,,,,,A3V,24.25492857109422,0.12,,1,30350,30350,,,,,,,,,,,,,
STAR-3952,,6.396546,2.665731,Star,Mon,6.86,,,,,,,K0,15703628.04333558,1.0,,1,30351,30351,,,,,,,,,,,,,
